subject,group,task,run,volume,time,bold_z,bold_anterior,bold_posterior,bold_left,bold_right,bold_superior,bold_inferior
sub-control01,Control,music,1,0,0.0,-1.442327468828578,-1.1829523407205056,-1.5353912160201733,-1.5459402188545943,-1.334176570120491,-0.76103483228354,-1.5965805333606742
sub-control01,Control,music,1,1,3.0,-1.3631106728558862,-1.2711591965663236,-1.3704145721210745,-1.5149526250523049,-1.2109336356754266,-0.543942918710154,-1.5626662784557044
sub-control01,Control,music,1,2,6.0,-1.3662052380031102,-1.4333293887342182,-1.2926451320147139,-1.4614396286426745,-1.2669115904023498,-0.745816089039329,-1.5057184974464883
sub-control01,Control,music,1,3,9.0,-1.4774874294157891,-1.7480128852439445,-1.2941755801800723,-1.5647450881767015,-1.3829921912571275,-0.7975771100960601,-1.628866843455515
sub-control01,Control,music,1,4,12.0,-1.5971269826240966,-1.6923024709840548,-1.5060292845514451,-1.6056709543142764,-1.5806014829800643,-1.025425908098877,-1.7138682780532357
sub-control01,Control,music,1,5,15.0,-1.6046496261892238,-1.6218493119816295,-1.5491935911410908,-1.690555730028476,-1.5117313277906248,-0.932799102626157,-1.7497360667303605
sub-control01,Control,music,1,6,18.0,-1.5849930298099808,-1.347961876320296,-1.659159125985362,-1.5645833258599522,-1.5870628222189613,-1.7540405349418888,-1.466996126474393
sub-control01,Control,music,1,7,21.0,-1.3046091402864874,-0.7742740959845587,-1.542292403580632,-1.261218321086218,-1.3334654164306754,-1.3719290213272974,-1.2320950481272441
sub-control01,Control,music,1,8,24.0,-1.5544240194905266,-1.227539393074122,-1.6799760551975056,-1.5811942937611467,-1.5186193592434112,-1.5015823373521262,-1.5102237400605667
sub-control01,Control,music,1,9,27.0,-1.76879391237011,-1.8418360248012045,-1.6812230870359457,-1.8446444468769891,-1.6862586026098285,-1.8789034056500737,-1.6665367291782711
sub-control01,Control,music,1,10,30.0,-1.425093591215912,-1.223670397628462,-1.4903705324892134,-1.464583883674489,-1.3792941920700856,-1.6822530312978894,-1.2901558890764089
sub-control01,Control,music,1,11,33.0,-1.4744946591747239,-1.5597425746059306,-1.3851097086717845,-1.4798704226072987,-1.45303067036555,-1.7857750734113513,-1.3175280773955573
sub-control01,Control,music,1,12,36.0,-0.7201638660669896,-0.33461268610715517,-0.8984271920878091,-0.9029855605000778,-0.5450194798704115,-0.525663132790687,-0.7517756107758794
sub-control01,Control,music,1,13,39.0,-0.8741592001038545,-1.3881807080094575,-0.5823896459412966,-1.050209489031542,-0.7034442032845023,-1.1256447911672887,-0.7602257801158987
